Charles Coleman|1977-08-11|1973|Europe|1273|1
Wendy Parker|1999-08-18|1986|Europe|2902|2
Stephen Cooke|2018-09-10|1998|Europe|91|3
Kelsey Jones|1970-05-17|2004|Europe|209|4
Joshua Kelly|2003-03-04|1988|Europe|2877|5
Alisha Meza|1989-09-03|1983|Europe|1533|6
Warren Weber|2009-01-24|2009|Europe|2180|7
Melanie Obrien|2008-11-08|1984|Europe|1944|8
Taylor Logan|1994-12-06|2006|Europe|793|9
Nicholas Whitaker|2000-02-25|1971|Europe|1370|10
Kristy Howard|1981-07-01|2015|Europe|1193|11
Leslie Bell|2001-03-09|1995|Europe|795|12
Nancy Campbell|1981-10-04|1994|Europe|1063|13
Sylvia Hobbs|1984-09-03|1982|Europe|842|14
Emily Collins|1987-04-12|1999|Europe|942|15
Christine Mitchell|2014-03-23|1996|Europe|481|16
Kristen Turner|2007-12-24|1975|Europe|1371|17
Kevin Murphy|2003-01-19|2003|Europe|1237|18
Christopher Page|2010-01-21|1989|Europe|543|19
Dawn Shah|1996-02-22|1987|Europe|744|20
Christopher Nelson|1992-12-19|2000|Europe|1553|21
Joe Morris|2017-02-05|1995|Europe|2388|22
Michael Williams|2000-12-14|1999|Europe|830|23
Thomas Perez|1988-06-09|1999|Europe|66|24
William Christensen|2018-10-21|1997|Europe|1782|25
Heather Oconnor|1978-04-18|2016|Europe|2181|26
Sylvia Kennedy|1991-03-07|1978|Europe|1598|27
Andrea Gutierrez|1978-09-07|1994|Europe|1147|28
Douglas Thomas|2002-12-29|2018|Europe|188|29
Rachel Meyer|1990-07-26|2005|Europe|2525|30
Thomas Lindsey|2016-09-01|2007|Europe|222|31
Craig Douglas|1998-05-30|1972|Europe|2142|32
Robert Kelly|2015-01-05|1981|Europe|1915|33
Katherine Krause|2000-07-03|1978|Europe|1904|34
James Moore|1977-09-22|1997|Europe|2079|35
Joseph Briggs|1994-07-08|2012|Europe|2799|36
Stephanie Hernandez|1970-12-02|1998|Europe|733|37
Gregory Dixon|1987-09-15|2014|Europe|1766|38
Rachel Taylor|2006-01-04|2016|Europe|2660|39
Robert Jones|2013-04-30|1986|Europe|2630|40
Shannon Phillips|2014-04-18|2000|Europe|2367|41
Sabrina Hess|2003-12-16|2016|Europe|649|42
Dr. Timothy Austin|2006-12-31|1994|Europe|777|43
Justin Bauer|2003-09-15|2000|Europe|303|44
Anita Richardson|2016-06-19|2014|Europe|2708|45
Gina Hawkins|1974-05-26|1993|Europe|1787|46
Benjamin Brown|2003-11-16|2014|Europe|269|47
Jennifer Garrett|2007-09-21|2002|Europe|2302|48
Joseph Snyder|1975-03-20|1976|Europe|1355|49
Nancy Peters|1973-05-18|1970|Europe|574|50
